VIN,accident,body_style,damage,drive_type,engine,ext_color,fuel,int_color,location,mileage,one_owner,personal,price,service,transmission,name,make,model,trim,special
1FMCU9GX7GUA85409,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,4 Cyl 1.6 L,Yellow,Gasoline,Black,"Rahway, NJ ","44,738",CARFAX 1-Owner vehicle,Last owned in Maryland,"14,295.00",Rental vehicle,Automatic,2016,Ford,Escape SE,,
1FTPX14576NA31697,Accident reported,Pickup,Previous owners,4WD,8 Cyl 5.4 L,Blue,Gasoline,Black,"Englishtown, NJ ","93,529",Service history records,Last owned in New Jersey,"11,000.00",Personal vehicle,Automatic,2006,Ford,F-150 FX4,,
1GKFK13067J135045,No accidents reported to CARFAX,SUV,Other damage reported,4WD,8 Cyl 5.3 L,Silver,Flexible-Fuel,Unspecified,"Inwood, NY ","126,207",Previous owners,Personal vehicle,"8,998.00",Service history records,Automatic,2007,GMC,Yukon SLT,,
5J6TF2H55AL008953,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 3.5 L,Gray,Gasoline,White,"Mine Hill, NJ ","119,056",Previous owners,Service history records,"9,400.00",At least 1 open recall,Automatic,2010,Honda,Accord,Crosstour EXL,
5XXGN4A71CG084576,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Red,Gasoline,Tan,"Long Island City, NY ","49,918",Previous owners,Service history records,"9,998.00",At least 1 open recall,Automatic,2012,Kia,Optima EX,,
1ZVBP8CH8A5160987,No accidents reported to CARFAX,Coupe,No other damage reported to CARFAX,RWD,8 Cyl 4.6 L,White,Gasoline,Black,"Sayreville, NJ ","96,590",Previous owners,Service history records,"13,990.00",At least 1 open recall,Unspecified,2010,Ford,Mustang GT,,
1C3CDZAB4EN143537,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,White,Gasoline,Tan,"White Plains, NY ","78,529",Previous owners,"Types of owners: Rental, Personal","7,998.00",Service history records,Automatic,2014,Dodge,Avenger SE,,
3FA6P0D92ER238234,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,White,Gasoline,Black,"Jamaica, NY ","45,239",Previous owners,Service history records,"14,990.00",At least 1 open recall,Automatic,2014,Ford,Fusion Titanium,,
WA1LFAFP9CA128459,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,Blue,Gasoline,Orange,"Sayreville, NJ ","120,237",Previous owners,Service history records,"12,990.00",At least 1 open recall,Automatic,2012,Audi,Q5 Premium,,
1FMCU0G91FUA47881,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,Red,Gasoline,Gray,"Brooklyn, NY ","46,286",CARFAX 1-Owner vehicle,Regular oil changes,"13,995.00",At least 1 open recall,Automatic,2015,Ford,Escape SE,,
5XXGM4A75EG264424,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Unspecified,Gasoline,Unspecified,"Brooklyn, NY ","36,677",CARFAX 1-Owner vehicle,Service history records,"11,995.00",At least 1 open recall,Automatic,2014,Kia,Optima LX,,
1G4HP57296U179591,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,6 Cyl 3.8 L,Beige,Gasoline,Tan,"Bronx, NY ","65,065",CARFAX 1-Owner vehicle,Personal vehicle,"6,995.00",Service history records,Automatic,2006,Buick,Lucerne CX,,
WDDHF8HB8AA216203,Accident reported,Sedan,Previous owners,AWD,6 Cyl 3.5 L,White,Gasoline,Unspecified,"Elmont, NY ","81,475",Service history records,Last owned in New Jersey,"13,635.00","Types of owners: Personal lease, Personal",Automatic,2010,Mercedes-Benz,E-Class E,350,Sport
1C3CCCAB6FN642194,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,White,Gasoline,Tan,"Wantagh, NY ","29,066",CARFAX 1-Owner vehicle,Service history records,"14,495.00",Chrysler Certified Pre-Owned,Automatic,2015,Chrysler,200 Limited,,
5NPE24AF7FH234769,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Red,Gasoline,Gray,"Medford, NY ","44,570",CARFAX 1-Owner vehicle,Rental vehicle,"10,999.00",Service history records,Automatic,2015,Hyundai,Sonata SE,,
KNDJX3A54F7209365,No accidents reported to CARFAX,Wagon,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,Yellow,Gasoline,Black,"Brooklyn, NY ","12,449",CARFAX 1-Owner vehicle,Personal vehicle,"14,995.00",Service history records,Automatic,2015,Kia,Soul Soul!,,
1J8FF28W48D705734,Accident reported: minor damage,SUV,Previous owners,4WD,4 Cyl 2.4 L,Beige,Gasoline,Tan,"Howell, NJ ","46,000",Service history records,Last owned in New Jersey,"7,995.00",Personal vehicle,Automatic,2008,Jeep,Patriot Sport,,
JM1BL1L62C1513125,Accident reported: airbag deployed,Hatchback,Previous owners,FWD,4 Cyl 2.5 L,Gray,Gasoline,Black,"Newark, NJ ","55,218",At least 1 open recall,Personal vehicle,"8,995.00",Service history records,Automatic,2012,Mazda,Mazda3 s,Touring,
5TEVL52N62Z026723,Accident reported,Pickup,Previous owners,RWD,4 Cyl 2.4 L,Red,Gasoline,Unspecified,"Hasbrouck Heights, NJ ","147,449",Service history records,Last owned in New Jersey,"3,999.00","Types of owners: Corporate, Personal",Automatic,2002,Toyota,Tacoma ,,
1N4AA51E69C843730,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,6 Cyl 3.5 L,Gray,Gasoline,Black,"Jersey City, NJ ","99,169",Previous owners,"Types of owners: Personal lease, Personal","8,401.00",Service history records,Automatic,2009,Nissan,Maxima SV,,
KMHTC6AD2CU079625,No accidents reported to CARFAX,Hatchback,No other damage reported to CARFAX,FWD,4 Cyl 1.6 L,Unspecified,Gasoline,Unspecified,"Brooklyn, NY ","83,587",CARFAX 1-Owner vehicle,Last owned in Indiana,"8,453.00",Personal vehicle,Automatic,2012,Hyundai,Veloster ,,
WBAVL1C56EVR92971,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,White,Gasoline,Black,"Mountain Lakes, NJ ","76,892",CARFAX 1-Owner vehicle,Regular oil changes,"14,385.00",At least 1 open recall,Automatic,2014,BMW,X1 xDrive28i,,
1VWBT7A36FC055218,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Gray,Gasoline,Tan,"Great Neck, NY ","49,800",Previous owners,"Types of owners: Personal lease, Personal","12,995.00",Service history records,Automatic,2015,Volkswagen,Passat SE,,
1HGCR2F51DA264864,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"Hackettstown, NJ ","47,494",CARFAX 1-Owner vehicle,Personal lease vehicle,"13,395.00",Service history records,Automatic,2013,Honda,Accord Sport,,
1FMCU9G93FUA09797,Accident reported,SUV,Previous owners,4WD,4 Cyl 2.0 L,Gray,Gasoline,Gray,"West Babylon, NY ","21,517","Types of owners: Rental, Personal",Detailed records available,"14,799.00",Last owned in New York,Automatic,2015,Ford,Escape SE,,
JN8AS5MV5DW623946,Accident reported,SUV,Previous owners,AWD,4 Cyl 2.5 L,Black,Gasoline,Unspecified,"Bronx, NY ","58,169",Service history records,Last owned in New York,"10,887.00",Personal vehicle,Automatic,2013,Nissan,Rogue SV,,
1FMCU9GX1EUE01660,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,4 Cyl 1.6 L,Black,Gasoline,Black,"Jersey City, NJ ","86,784",CARFAX 1-Owner vehicle,Commercial vehicle,"11,426.00",Regular oil changes,Automatic,2014,Ford,Escape SE,,
WBAWV53559P079621,No accidents reported to CARFAX,Coupe,No other damage reported to CARFAX,AWD,6 Cyl 3.0 L,Black,Gasoline,Black,"Elmwood Park, NJ ","70,932",Previous owners,Service history records,"9,995.00",At least 1 open recall,Automatic,2009,BMW,3,Series 328i,xDrive
JN1CV6AR8BM351123,Accident reported,Sedan,Previous owners,AWD,6 Cyl 3.7 L,Black,Gasoline,Black,"Springfield Gardens, NY ","103,347",Service history records,Last owned in New Jersey,"9,299.00","Types of owners: Personal lease, Personal",Automatic,2011,Infiniti,G37 ,,
5NPDH4AE4FH618798,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Silver,Gasoline,Gray,"Bloomfield, NJ ","36,189",CARFAX 1-Owner vehicle,Service history records,"12,680.00",Hyundai Certified Pre-Owned,Automatic,2015,Hyundai,Elantra SE,,
5N1AT2MV7GC810579,Accident reported,SUV,CARFAX 1-Owner vehicle,AWD,4 Cyl 2.5 L,Silver,Gasoline,Black,"Bronx, NY ","40,527",Service history record,Last owned in New York,"14,072.00",Rental vehicle,Automatic,2016,Nissan,Rogue S,,
1C4NJDEB6ED741290,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,4 Cyl 2.4 L,White,Gasoline,Gray,"Levittown, NY ","44,198",CARFAX 1-Owner vehicle,Personal lease vehicle,"11,495.00",Service history records,Automatic,2014,Jeep,Compass Latitude,,
1N4AL3AP5GN368931,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,Red,Gasoline,Black,"Wilton, CT ","43,747",CARFAX 1-Owner vehicle,Rental vehicle,"12,591.00",Service history records,Automatic,2016,Nissan,Altima S,,
4T1BF1FK7GU189248,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,Silver,Gasoline,Black,"Woodside, NY ","51,203",Previous owners,Taxi vehicle,"12,995.00",Service history record,Automatic,2016,Toyota,Camry LE,,
WMWZF3C5XCT489201,No accidents reported to CARFAX,Wagon,No other damage reported to CARFAX,FWD,4 Cyl 1.6 L,Green,Gasoline,Unspecified,"South Hackensack, NJ ","68,508",Previous owners,"Types of owners: Rental, Personal","8,797.00",Service history record,Automatic,2012,Mini,Cooper,Clubman ,
5XYZUDLA2DG099332,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,Gray,Gasoline,Tan,"West Babylon, NY ","83,454",CARFAX 1-Owner vehicle,Personal vehicle,"14,999.00",Service history records,Automatic,2013,Hyundai,Santa,Fe Sport,2.0T
5YFBURHE2GP463839,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 1.8 L,White,Gasoline,Gray,"Uniondale, NY ","41,225",Service history records,Last owned in Kentucky,"11,800.00",Rental vehicle,Automatic,2016,Toyota,Corolla LE,Premium,
3N1AB7AP5FY313498,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Gray,Gasoline,Black,"Bloomfield, NJ ","30,304",CARFAX 1-Owner vehicle,Personal lease vehicle,"11,995.00",Service history records,Automatic,2015,Nissan,Sentra S,,
4T1BE32K74U328715,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Blue,Gasoline,Gray,"Saint James, NY ","96,172",Previous owners,"Types of owners: Personal lease, Personal","5,688.00",Service history records,Automatic,2004,Toyota,Camry LE,,
1FMSU43FX2EA53178,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,8 Cyl 7.3 L,Red,Diesel,Tan,"Lindenhurst, NY ","144,596",Previous owners,"Types of owners: Corporate fleet, Personal","14,985.00",Service history records,Automatic,2002,Ford,Excursion Limited,,
1FADP3F24GL364430,Accident reported: airbag deployed,Sedan,Previous owners,FWD,4 Cyl 2.0 L,Black,Flexible-Fuel,Black,"New Windsor, NY ","23,809","Types of owners: Rental, Personal",Detailed records available,"11,995.00",Last owned in Indiana,Automatic,2016,Ford,Focus SE,,
JTHBD192740090291,Accident reported,Sedan,Previous owners,RWD,6 Cyl 3.0 L,Blue,Gasoline,White,"Carlstadt, NJ ","116,755",Service history records,Last owned in New Jersey,"5,642.00","Types of owners: Personal lease, Personal",Automatic,2004,Lexus,IS 300,,
1GNDT13W42K162808,Accident reported,SUV,Previous owners,4WD,6 Cyl 4.3 L,Brown,Gasoline,Tan,"Mine Hill, NJ ","99,434",Service history records,Last owned in New Jersey,"4,995.00","Types of owners: Personal lease, Personal",Automatic,2002,Chevrolet,Blazer LS,,
2C4RC1CG5CR232911,No accidents reported to CARFAX,Minivan,No other damage reported to CARFAX,FWD,6 Cyl 3.6 L,Black,Flexible-Fuel,Black,"Bridgeport, CT ","116,690",CARFAX 1-Owner vehicle,Personal vehicle,"9,995.00",Service history records,Automatic,2012,Chrysler,Town,&,Country Touring
1C4NJRFB8FD176988,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,4 Cyl 2.4 L,Gray,Gasoline,Black,"Inwood, NY ","54,478",CARFAX 1-Owner vehicle,Personal lease vehicle,"12,523.00",Regular oil changes,Automatic,2015,Jeep,Patriot Latitude,,
WBAKF5C50BE655631,No accidents reported to CARFAX,Coupe,Other damage reported,AWD,6 Cyl 3.0 L,Black,Gasoline,Black,"Brooklyn, NY ","110,228",Previous owners,Service history records,"8,999.00",At least 1 open recall,Automatic,2011,BMW,3,Series 328i,xDrive
WBAPK5G55BNN25260,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,AWD,6 Cyl 3.0 L,Silver,Gasoline,Black,"Richmond Hill, NY ","107,283",Previous owners,Service history records,"6,980.00",At least 1 open recall,Automatic,2011,BMW,3,Series 328i,xDrive
1FMCU9H90DUC79324,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,4 Cyl 2.0 L,Silver,Gasoline,Black,"Brooklyn, NY ","81,950",Previous owners,Service history records,"10,999.00",At least 1 open recall,Automatic,2013,Ford,Escape SEL,,
3B7HF13Z61M261570,No accidents reported to CARFAX,Pickup,No other damage reported to CARFAX,4WD,8 Cyl 5.9 L,Blue,Gasoline,Gray,"Farmingdale, NY ","78,000",Previous owners,Service history records,"5,800.00",At least 1 open recall,Automatic,2001,Dodge,Ram,1500 SLT,
5UXWX7C52BLT78911,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,6 Cyl 3.0 L,Gray,Gasoline,Black,"Richmond Hill, NY ","115,811",Previous owners,"Types of owners: Corporate, Personal","9,980.00",Service history records,Automatic,2011,BMW,X3 xDrive35i,,
3FAHP07Z89R190815,Accident reported,Sedan,Previous owners,FWD,4 Cyl 2.3 L,Blue,Gasoline,Unspecified,"Hackettstown, NJ ","107,903",At least 1 open recall,Personal vehicle,"4,895.00",Service history records,Automatic,2009,Ford,Fusion SE,,
1HGCR2F51DA101700,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"Elizabethport, NJ ","155,429",CARFAX 1-Owner vehicle,Service history records,"9,995.00",At least 1 open recall,Automatic,2013,Honda,Accord Sport,,
1C4PJMAK3CW212041,Accident reported,SUV,CARFAX 1-Owner vehicle,4WD,6 Cyl 3.7 L,Blue,Gasoline,Gray,"Lindenhurst, NY ","58,912",At least 1 open recall,Personal vehicle,"10,995.00",Service history records,Automatic,2012,Jeep,Liberty Sport,,
1NXBU4EE7AZ241570,Accident reported,Sedan,Previous owners,FWD,4 Cyl 1.8 L,White,Gasoline,Gray,"Mountain Lakes, NJ ","119,130",At least 1 open recall,"Types of owners: Corporate fleet, Personal","5,395.00",Service history records,Automatic,2010,Toyota,Corolla ,,
5FNYF4H79BB069204,No accidents reported to CARFAX,SUV,Other damage reported,4WD,6 Cyl 3.5 L,Gray,Gasoline,Black,"Lindenhurst, NY ","140,260",Previous owners,"Types of owners: Personal lease, Personal","10,995.00",Service history records,Automatic,2011,Honda,Pilot EXL,,
KMHCT4AEXGU018560,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 1.6 L,Silver,Gasoline,Gray,"West Babylon, NY ","43,234",Service history record,Last owned in Texas,"8,998.00",Rental vehicle,Automatic,2016,Hyundai,Accent SE,,
JM1BL1W88C1693918,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,White,Gasoline,Tan,"East Windsor, NJ ","30,838",CARFAX 1-Owner vehicle,Personal vehicle,"10,495.00",Service history record,Automatic,2012,Mazda,Mazda3 i,Grand,Touring
2HJYK16527H509708,No accidents reported to CARFAX,Pickup,No other damage reported to CARFAX,4WD,6 Cyl 3.5 L,Black,Gasoline,Gray,"South Amboy, NJ ","170,979",Previous owners,Service history records,"8,990.00",At least 1 open recall,Automatic,2007,Honda,Ridgeline RTL,,
JS2YB5A31A6301996,No accidents reported to CARFAX,Hatchback,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,Black,Gasoline,Unspecified,"Hasbrouck Heights, NJ ","94,189",Previous owners,Last owned in New Jersey,"5,699.00",Personal vehicle,Automatic,2010,Suzuki,SX4 ,,
5N1AN08WX6C557340,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 4.0 L,Black,Gasoline,Tan,"Branchville, NJ ","130,049",Previous owners,Personal vehicle,"6,995.00",Service history records,Automatic,2006,Nissan,Xterra S,,
1HGCM56826A185412,Accident reported,Sedan,Previous owners,FWD,4 Cyl 2.4 L,Gray,Gasoline,Gray,"Farmingdale, NY ","62,000",Service history records,Last owned in New York,"7,600.00",Personal vehicle,Automatic,2006,Honda,Accord EX,,
1FMCU0G9XFUB50717,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,Silver,Gasoline,Black,"Elizabeth, NJ ","72,941",Previous owners,"Types of owners: Rental, Lease","9,995.00",Service history records,Automatic,2015,Ford,Escape SE,,
1GKET12S046193338,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 4.2 L,Burgundy,Gasoline,Gray,"Linden, NJ ","121,986",Previous owners,Personal vehicle,"3,995.00",Service history records,Automatic,2004,GMC,Envoy XUV,,
1GAZG1FA3C1159773,Accident reported,Van,Previous owners,RWD,8 Cyl 4.8 L,White,Flexible-Fuel,Unspecified,"Hasbrouck Heights, NJ ","173,386",Service history records,Last owned in New Jersey,"7,499.00","Types of owners: Rental, Commercial",Automatic,2012,Chevrolet,Express 3500,LT,
WP1AB29P36LA66767,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,8 Cyl 4.5 L,Black,Gasoline,Black,"Howell, NJ ","135,563",Previous owners,Service history records,"5,745.00",At least 1 open recall,Automatic,2006,Porsche,Cayenne S,,
2HGFB6E59DH709282,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"East Rutherford, NJ ","71,466",Previous owners,Personal vehicle,"13,556.00",Service history record,Manual,2013,Honda,Civic Si,,
WBANV93509C136141,No accidents reported to CARFAX,Sedan,Other damage reported,AWD,6 Cyl 3.0 L,Gray,Gasoline,Black,"Uniondale, NY ","116,961",Previous owners,"Types of owners: Personal lease, Personal","7,900.00",Service history records,Automatic,2009,BMW,5,Series 535i,xDrive
1J8GN28K18W255436,Accident reported,SUV,CARFAX 1-Owner vehicle,4WD,6 Cyl 3.7 L,Green,Gasoline,Tan,"Newton, NJ ","132,323",Service history records,Last owned in New Jersey,"5,995.00",Personal vehicle,Automatic,2008,Jeep,Liberty Sport,,
3N1AB7APXGY237309,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Silver,Gasoline,Black,"Inwood, NY ","44,451",CARFAX 1-Owner vehicle,Service history records,"10,995.00",Nissan Certified Pre-Owned,Automatic,2016,Nissan,Sentra S,,
JTMBD33V575073822,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,4 Cyl 2.4 L,Green,Gasoline,Gray,"Long Island City, NY ","148,000",CARFAX 1-Owner vehicle,Service history records,"6,995.00",At least 1 open recall,Automatic,2007,Toyota,RAV4 ,,
WBANN73537CN04149,Accident reported: minor damage,Wagon,Previous owners,AWD,6 Cyl 3.0 L,Gray,Gasoline,Gray,"South Hackensack, NJ ","150,047",At least 1 open recall,"Types of owners: Personal lease, Lease, Personal","4,999.00",Service history records,Automatic,2007,BMW,5,Series 530xi,
3VW1K7AJ8EM371150,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,White,Gasoline,Black,"Union, NJ ","34,708",CARFAX 1-Owner vehicle,Personal vehicle,"10,600.00",Regular oil changes,Manual,2014,Volkswagen,Jetta S,,
WAUFFAFL6DN008223,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,AWD,4 Cyl 2.0 L,Black,Gasoline,Brown,"Great Neck, NY ","80,744",CARFAX 1-Owner vehicle,Service history records,"12,495.00",At least 1 open recall,Automatic,2013,Audi,A4 Premium,Plus,
WBXPC93488WJ19256,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,6 Cyl 3.0 L,Beige,Gasoline,Black,"Rahway, NJ ","72,414",Previous owners,Service history records,"10,450.00",At least 1 open recall,Automatic,2008,BMW,X3 3.0si,,
JTEBU14R430009411,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,4WD,6 Cyl 4.0 L,Silver,Gasoline,Unspecified,"North Plainfield, NJ ","105,406",Previous owners,Last owned in New Jersey,"9,388.00",Service history records,Automatic,2003,Toyota,4Runner SR5,,
JTHCK262995032245,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,AWD,6 Cyl 2.5 L,Gray,Gasoline,Black,"East Rutherford, NJ ","57,552",Previous owners,Service history records,"12,823.00",At least 1 open recall,Automatic,2009,Lexus,IS 250,,
3N1AB7APXFL643568,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Silver,Gasoline,Unspecified,"Paramus, NJ ","43,922",CARFAX 1-Owner vehicle,Service history records,"12,200.00",Nissan Certified Pre-Owned,Automatic,2015,Nissan,Sentra SV,,
1FADP3N20HL207125,No accidents reported to CARFAX,Hatchback,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,Silver,Flexible-Fuel,Black,"Rutherford, NJ ","19,477",CARFAX 1-Owner vehicle,Rental vehicle,"14,999.00",Ford Certified Pre-Owned,Automatic,2017,Ford,Focus Titanium,,
19XFB2F52FE200395,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Black,Gasoline,Gray,"Huntington, NY ","29,110",CARFAX 1-Owner vehicle,Personal lease vehicle,"13,888.00",Service history records,Automatic,2015,Honda,Civic LX,,
3GYFNGE33DS541074,Accident reported,SUV,Previous owners,AWD,6 Cyl 3.6 L,Blue,Flexible-Fuel,Black,"South River, NJ ","69,142",Service history records,Last owned in New York,"14,975.00","Types of owners: Rental, Personal",Automatic,2013,Cadillac,SRX Luxury,,
2HGFG3B50FH516798,No accidents reported to CARFAX,Coupe,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Gray,Gasoline,Unspecified,"Glen Head, NY ","28,398",CARFAX 1-Owner vehicle,Personal lease vehicle,"13,950.00",Service history records,Automatic,2015,Honda,Civic LX,,
3N1AB7AP6FL695005,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Silver,Gasoline,Unspecified,"Paramus, NJ ","32,454",CARFAX 1-Owner vehicle,Regular oil changes,"12,856.00",Nissan Certified Pre-Owned,Automatic,2015,Nissan,Sentra SV,,
5TEWN72N62Z121423,Accident reported,Pickup,Previous owners,4WD,6 Cyl 3.4 L,Silver,Gasoline,Black,"Newton, NJ ","239,317",Service history records,Last owned in New Jersey,"3,995.00",Personal vehicle,Automatic,2002,Toyota,Tacoma ,,
3N1CN7AP6GL841937,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.6 L,White,Gasoline,Unspecified,"Huntington Station, NY ","39,430",CARFAX 1-Owner vehicle,Rental vehicle,"8,805.00",Nissan Certified Pre-Owned,Automatic,2016,Nissan,Versa SV,,
JN8DR09Y83W818940,No accidents reported to CARFAX,SUV,Other damage reported,4WD,6 Cyl 3.5 L,Beige,Gasoline,Gray,"Hempstead, NY ","141,058",Previous owners,Service history records,"3,999.00",At least 1 open recall,Automatic,2003,Nissan,Pathfinder LE,,
1C4NJPFA3FD318594,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,FWD,4 Cyl 2.0 L,Green,Gasoline,Gray,"Hackettstown, NJ ","31,062",CARFAX 1-Owner vehicle,Service history records,"14,695.00",At least 1 open recall,Automatic,2015,Jeep,Patriot High,Altitude,Edition
5NPE24AFXGH385414,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 2.4 L,Blue,Gasoline,Gray,"South Plainfield, NJ ","48,339",Service history record,Last owned in Alabama,"8,998.00",Rental vehicle,Automatic,2016,Hyundai,Sonata SE,,
KNDPBCAC7F7681860,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.4 L,Burgundy,Gasoline,Black,"Wall Township, NJ ","26,999",CARFAX 1-Owner vehicle,Last owned in New Jersey,"14,995.00",Personal lease vehicle,Automatic,2015,Kia,Sportage LX,,
2C3CDXCT1CH159694,No accidents reported to CARFAX,Sedan,Other damage reported,RWD,8 Cyl 5.7 L,Gray,Gasoline,Black,"Queens Village, NY ","81,676",Previous owners,Service history records,"12,992.00",At least 1 open recall,Automatic,2012,Dodge,Charger R/T,,
2C4RDGBGXER249109,Accident reported: airbag deployed,Minivan,CARFAX 1-Owner vehicle,FWD,6 Cyl 3.6 L,Black,Flexible-Fuel,Tan,"Elizabethport, NJ ","96,578",Service history records,Last owned in New Jersey,"9,595.00",Commercial vehicle,Automatic,2014,Dodge,Grand,Caravan SE,
5YFBU4EE9DP127897,No accidents reported to CARFAX,Sedan,Other damage reported,FWD,4 Cyl 1.8 L,Silver,Gasoline,Unspecified,"Jersey City, NJ ","33,866",Previous owners,Service history records,"9,717.00",At least 1 open recall,Automatic,2013,Toyota,Corolla L,,
JNKAY01F06M250905,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,AWD,6 Cyl 3.5 L,Gray,Gasoline,Black,"Garfield, NJ ","179,668",CARFAX 1-Owner vehicle,Service history records,"5,995.00",At least 1 open recall,Automatic,2006,Infiniti,M35 ,,
WDBUF87X58B313884,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,AWD,6 Cyl 3.5 L,Black,Gasoline,Black,"East Windsor, NJ ","96,888",Previous owners,"Types of owners: Personal lease, Personal","8,595.00",Service history records,Automatic,2008,Mercedes-Benz,E-Class E,350,
4JGBF7BE1AA618170,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,8 Cyl 4.7 L,Gray,Gasoline,Black,"Somerville, NJ ","99,994",CARFAX 1-Owner vehicle,Service history records,"14,995.00",At least 1 open recall,Automatic,2010,Mercedes-Benz,GL-Class GL,450,
5NPE24AF8HH489773,Accident reported: very minor damage,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 2.4 L,White,Gasoline,Tan,"Lindenhurst, NY ","12,087",Service history records,Last owned in North Carolina,"13,995.00",Personal vehicle,Automatic,2017,Hyundai,Sonata SE,,
4T1BF1FK7FU074339,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.5 L,Gray,Gasoline,Gray,"Jamaica, NY ","38,495",Previous owners,Taxi vehicle,"13,999.00",Service history record,Automatic,2015,Toyota,Camry SE,,
WBANV13508CZ51164,Accident reported,Sedan,Previous owners,AWD,6 Cyl 3.0 L,Gray,Gasoline,Tan,"Medford, NY ","80,072",At least 1 open recall,"Types of owners: Personal lease, Personal","7,995.00",Service history records,Automatic,2008,BMW,5,Series 528xi,
